location,population,TotalInfections,PercentInfectedPeople,continent
Afghanistan,41128772,235214,0.57,Asia
Albania,2842318,335047,11.79,Europe
Algeria,44903228,272139,0.61,Africa
American Samoa,44295,8359,18.87,Oceania
Andorra,79843,48015,60.14,Europe
Angola,35588996,107481,0.3,Africa
Anguilla,15877,3904,24.59,North America
Antigua and Barbuda,93772,9106,9.71,North America
Argentina,45510324,10101218,22.2,South America
Armenia,2780472,452273,16.27,Asia
Aruba,106459,44224,41.54,North America
Australia,26177410,11861161,45.31,Oceania
Austria,8939617,6082444,68.04,Europe
Azerbaijan,10358078,835757,8.07,Asia
Bahamas,409989,39127,9.54,North America
Bahrain,1472237,696614,47.32,Asia
Bangladesh,171186368,2051348,1.2,Asia
Barbados,281646,108582,38.55,North America
Belarus,9534956,994037,10.43,Europe
Belgium,11655923,4872829,41.81,Europe
Belize,405285,71414,17.62,North America
Benin,13352864,28036,0.21,Africa
Bermuda,64207,18860,29.37,North America
Bhutan,782457,62697,8.01,Asia
Bolivia,12224114,1212147,9.92,South America
Bonaire Sint Eustatius and Saba,27052,11922,44.07,North America
Bosnia and Herzegovina,3233530,403666,12.48,Europe
Botswana,2630300,330696,12.57,Africa
Brazil,215313504,37511921,17.42,South America
British Virgin Islands,31332,7557,24.12,North America
Brunei,449002,347723,77.44,Asia
Bulgaria,6781955,1329988,19.61,Europe
Burkina Faso,22673764,22139,0.1,Africa
Burundi,12889583,54569,0.42,Africa
Cambodia,16767851,139319,0.83,Asia
Cameroon,27914542,125246,0.45,Africa
Canada,38454328,4819055,12.53,North America
Cape Verde,593162,64474,10.87,Africa
Cayman Islands,68722,31472,45.8,North America
Central African Republic,5579148,15441,0.28,Africa
Chad,17723312,7702,0.04,Africa
Chile,19603736,5401126,27.55,South America
China,1425887360,99373219,6.97,Asia
Colombia,51874028,6391876,12.32,South America
Comoros,836783,9109,1.09,Africa
Congo,5970430,25227,0.42,Africa
Cook Islands,17032,7345,43.12,Oceania
Costa Rica,5180836,1234701,23.83,North America
Cote d'Ivoire,28160548,88434,0.31,Africa
Croatia,4030361,1317144,32.68,Europe
Cuba,11212198,1113662,9.93,North America
Curacao,191173,45883,24,North America
Cyprus,896007,696410,77.72,Europe
Czechia,10493990,4761919,45.38,Europe
Democratic Republic of Congo,99010216,101009,0.1,Africa
Denmark,5882259,3435679,58.41,Europe
Djibouti,1120851,15690,1.4,Africa
Dominica,72758,16047,22.06,North America
Dominican Republic,11228821,661103,5.89,North America
East Timor,1341298,23460,1.75,Asia
Ecuador,18001002,1077445,5.99,South America
Egypt,110990096,516023,0.46,Africa
El Salvador,6336393,201920,3.19,North America
England,56550000,NULL,NULL,Europe
Equatorial Guinea,1674916,17130,1.02,Africa
Eritrea,3684041,10189,0.28,Africa
Estonia,1326064,610471,46.04,Europe
Eswatini,1201680,75356,6.27,Africa
Ethiopia,123379928,501193,0.41,Africa
Falkland Islands,3801,1923,50.59,South America
Faroe Islands,53117,34658,65.25,Europe
Fiji,929769,69047,7.43,Oceania
Finland,5540745,1499712,27.07,Europe
France,67813000,38997490,57.51,Europe
French Guiana,304568,98041,32.19,South America
French Polynesia,306292,79387,25.92,Oceania
Gabon,2388997,49051,2.05,Africa
Gambia,2705995,12627,0.47,Africa
Georgia,3744385,1863615,49.77,Asia
Germany,83369840,38437756,46.11,Europe
Ghana,33475870,172062,0.51,Africa
Gibraltar,32677,20550,62.89,Europe
Greece,10384972,5673681,54.63,Europe
Greenland,56494,11971,21.19,North America
Grenada,125459,19693,15.7,North America
Guadeloupe,395762,203235,51.35,North America
Guam,171783,52287,30.44,Oceania
Guatemala,17843914,1250371,7.01,North America
Guernsey,63329,35326,55.78,Europe
Guinea,13859349,38572,0.28,Africa
Guinea-Bissau,2105580,9614,0.46,Africa
Guyana,808727,74443,9.2,South America
Haiti,11585003,34456,0.3,North America
Honduras,10432858,472896,4.53,North America
Hong Kong,7488863,NULL,NULL,Asia
Hungary,9967304,2230800,22.38,Europe
Iceland,372903,210374,56.42,Europe
India,1417173120,45041748,3.18,Asia
Indonesia,275501344,6829399,2.48,Asia
Iran,88550568,7627863,8.61,Asia
Iraq,44496124,2465545,5.54,Asia
Ireland,5023108,1745088,34.74,Europe
Isle of Man,84534,38008,44.96,Europe
Israel,9449000,4841558,51.24,Asia
Italy,59037472,26781078,45.36,Europe
Jamaica,2827382,157181,5.56,North America
Japan,123951696,33803572,27.27,Asia
Jersey,110796,66391,59.92,Europe
Jordan,11285875,1746997,15.48,Asia
Kazakhstan,19397998,1504370,7.76,Asia
Kenya,54027484,344106,0.64,Africa
Kiribati,131237,5085,3.87,Oceania
Kosovo,1782115,274279,15.39,Europe
Kuwait,4268886,667290,15.63,Asia
Kyrgyzstan,6630621,88953,1.34,Asia
Laos,7529477,219060,2.91,Asia
Latvia,1850654,977765,52.83,Europe
Lebanon,5489744,1239904,22.59,Asia
Lesotho,2305826,36138,1.57,Africa
Liberia,5302690,8090,0.15,Africa
Libya,6812344,507269,7.45,Africa
Liechtenstein,39355,21588,54.85,Europe
Lithuania,2750058,1369355,49.79,Europe
Luxembourg,647601,393542,60.77,Europe
Macao,695180,NULL,NULL,Asia
Madagascar,29611718,68567,0.23,Africa
Malawi,20405318,89168,0.44,Africa
Malaysia,33938216,5309410,15.64,Asia
Maldives,523798,186694,35.64,Asia
Mali,22593598,33166,0.15,Africa
Malta,533293,122796,23.03,Europe
Marshall Islands,41593,16297,39.18,Oceania
Martinique,367512,230354,62.68,North America
Mauritania,4736146,63872,1.35,Africa
Mauritius,1299478,328167,25.25,Africa
Mayotte,326113,42027,12.89,Africa
Mexico,127504120,7619458,5.98,North America
Micronesia (country),114178,31765,27.82,Oceania
Moldova,3272993,637520,19.48,Europe
Monaco,36491,17181,47.08,Europe
Mongolia,3398373,1011489,29.76,Asia
Montenegro,627082,251280,40.07,Europe
Montserrat,4413,1403,31.79,North America
Morocco,37457976,1279115,3.41,Africa
Mozambique,32969520,233843,0.71,Africa
Myanmar,54179312,642885,1.19,Asia
Namibia,2567024,172533,6.72,Africa
Nauru,12691,5393,42.49,Oceania
Nepal,30547586,1003450,3.28,Asia
Netherlands,17564020,8640008,49.19,Europe
New Caledonia,289959,80163,27.65,Oceania
New Zealand,5185289,2639048,50.89,Oceania
Nicaragua,6948395,16185,0.23,North America
Niger,26207982,9518,0.04,Africa
Nigeria,218541216,267188,0.12,Africa
Niue,1952,1074,55.02,Oceania
North Korea,26069416,0,0,Asia
North Macedonia,2093606,350924,16.76,Europe
Northern Cyprus,382836,NULL,NULL,Asia
Northern Ireland,1896000,NULL,NULL,Europe
Northern Mariana Islands,49574,14912,30.08,Oceania
Norway,5434324,1512647,27.84,Europe
Oman,4576300,399449,8.73,Asia
Pakistan,235824864,1580631,0.67,Asia
Palau,18084,6372,35.24,Oceania
Palestine,5250076,703228,13.39,Asia
Panama,4408582,1044821,23.7,North America
Papua New Guinea,10142625,46864,0.46,Oceania
Paraguay,6780745,735759,10.85,South America
Peru,34049588,4526977,13.3,South America
Philippines,115559008,4173631,3.61,Asia
Pitcairn,47,4,8.51,Oceania
Poland,39857144,6670799,16.74,Europe
Portugal,10270857,5664109,55.15,Europe
Puerto Rico,3252412,1252713,38.52,North America
Qatar,2695131,514524,19.09,Asia
Reunion,974062,494595,50.78,Africa
Romania,19659270,3541619,18.02,Europe
Russia,144713312,24268728,16.77,Europe
Rwanda,13776702,133264,0.97,Africa
Saint Barthelemy,10994,5507,50.09,North America
Saint Helena,5401,2166,40.1,Africa
Saint Kitts and Nevis,47681,6607,13.86,North America
Saint Lucia,179872,30282,16.84,North America
Saint Martin (French part),31816,12324,38.74,North America
Saint Pierre and Miquelon,5885,3426,58.22,North America
Saint Vincent and the Grenadines,103959,9674,9.31,North America
Samoa,222390,17057,7.67,Oceania
San Marino,33690,25292,75.07,Europe
Sao Tome and Principe,227393,6771,2.98,Africa
Saudi Arabia,36408824,841469,2.31,Asia
Scotland,5466000,NULL,NULL,Europe
Senegal,17316452,89485,0.52,Africa
Serbia,6871547,2583470,37.6,Europe
Seychelles,107135,51886,48.43,Africa
Sierra Leone,8605723,7979,0.09,Africa
Singapore,5637022,3006155,53.33,Asia
Sint Maarten (Dutch part),44192,11051,25.01,North America
Slovakia,5643455,1878002,33.28,Europe
Slovenia,2119843,1356582,63.99,Europe
Solomon Islands,724272,25954,3.58,Oceania
Somalia,17597508,27334,0.16,Africa
South Africa,59893884,4072765,6.8,Africa
South Korea,51815808,34571873,66.72,Asia
South Sudan,10913172,18823,0.17,Africa
Spain,47558632,13980340,29.4,Europe
Sri Lanka,21832150,672798,3.08,Asia
Sudan,46874200,63993,0.14,Africa
Suriname,618046,82501,13.35,South America
Sweden,10549349,2755181,26.12,Europe
Switzerland,8740471,4457868,51,Europe
Syria,22125242,57423,0.26,Asia
Taiwan,23893396,NULL,NULL,Asia
Tajikistan,9952789,17786,0.18,Asia
Tanzania,65497752,43230,0.07,Africa
Thailand,71697024,4799180,6.69,Asia
Togo,8848700,39530,0.45,Africa
Tokelau,1893,80,4.23,Oceania
Tonga,106867,16976,15.89,Oceania
Trinidad and Tobago,1531043,191496,12.51,North America
Tunisia,12356116,1153361,9.33,Africa
Turkey,85341248,17004718,19.93,Asia
Turkmenistan,6430777,0,0,Asia
Turks and Caicos Islands,45726,6805,14.88,North America
Tuvalu,11335,2943,25.96,Oceania
Uganda,47249588,172154,0.36,Africa
Ukraine,39701744,5532777,13.94,Europe
United Arab Emirates,9441138,1067030,11.3,Asia
United Kingdom,67508936,24974629,36.99,Europe
United States,338289856,103436829,30.58,North America
United States Virgin Islands,99479,25389,25.52,North America
Uruguay,3422796,1041346,30.42,South America
Uzbekistan,34627648,175081,0.51,Asia
Vanuatu,326744,12019,3.68,Oceania
Vatican,808,26,3.22,Europe
Venezuela,28301700,552695,1.95,South America
Vietnam,98186856,11624000,11.84,Asia
Wales,3170000,NULL,NULL,Europe
Wallis and Futuna,11596,3760,32.42,Oceania
Western Sahara,576005,NULL,NULL,Africa
Yemen,33696612,11945,0.04,Asia
Zambia,20017670,349842,1.75,Africa
Zimbabwe,16320539,266386,1.63,Africa
